Date,Money Spent ,Time on Campus,Long Day ,Breakfast?,Bedtime from previous day:,Weather 
2025-04-07,17,7,Yes,No,12:00 AM,Cloudy
2025-04-08,5.65,4.5,No,Yes,10:45 PM,Sunny
2025-04-09,0,0,No,Yes,11:00 PM,Sunny
2025-04-15,12,3,No,Yes,11:30 PM,Cloudy
2025-04-16,5.65,6,Yes,No,11:30 PM,Cloudy
2025-04-17,0,2,No,No,11:30 PM,Cloudy
2025-04-18,0,3,No,Yes,11:30 PM,Cloudy
2025-04-21,5.65,7,Yes,Yes,11:30 PM,Cloudy
2025-04-22,0,3,No,Yes,11:30 PM,Cloudy
2025-04-23,0,8,Yes,Yes,9:30 PM,Cloudy
2025-04-24,5.65,3.5,No,Yes ,10:00 PM,Sunny 
2025-04-25,0,3,No ,No,9:45 PM,Sunny
2025-04-28,5.65,6,Yes,No,11:00 PM,Cloudy 
2025-04-29,0,3,No,Yes,11:15 PM,Sunny
2025-04-30,12,6,Yes,No,10:00 PM,Cloudy
2025-05-01,3.30,3,No,Yes,10:30 PM,Sunny
2025-05-02,5.65,5,No,No,10:30 PM,Sunny
2025-05-05,12,6,Yes,No,11:00 PM,Sunny
2025-05-06,3.30,3,No,Yes,10:45 PM,Cloudy
2025-05-07,5.65,6,Yes,No,12:00 AM,Cloudy
2025-05-08,3.30,3,No ,Yes,10:30 PM,Cloudy
2025-05-09,12,3,No,Yes,10:00 PM,Cloudy
2025-05-12,0,7,Yes,Yes,10:00 PM,Sunny
2025-05-13,0,3,No,Yes,11:00 PM,Sunny
2025-05-14,3.30,6,Yes,Yes,12:00 AM,Sunny
2025-05-15,0,4,No ,Yes,11:30 PM,Sunny
2025-05-16,5.65,3,No ,Yes,11:30 PM,Cloudy
2025-05-19,5.65,7,Yes,No,10:45 PM,Cloudy
2025-05-20,3.30,3,No,Yes,10:45 PM,Cloudy
2025-05-21,0,6,Yes,Yes,11:00 PM,Sunny